subscriber_id,email_domain,plan_type,subscription_start_date,subscription_end_date,is_churned,acquisition_channel,country,device_primary,created_at
b6de016f-571e-452c-bcd3-e9d376dd0eba,yahoo.com,news_only,2024-12-18,2025-04-29,True,email,GB,tablet,2025-12-06T23:57:34
8ea4dd12-92be-498b-8326-84bad82db7ad,yahoo.com,bundle_all,2025-07-10,2025-08-09,True,email,US,mobile,2025-12-06T17:12:45
fb443001-d944-4bb6-bdca-c88132578e26,edu,news_only,2025-09-11,2026-01-10,True,social,CA,mobile,2025-12-06T05:44:27
95800c6b-fce4-4e38-bebd-7b440252f558,gmail.com,bundle_3,2025-02-23,2025-08-21,True,organic,US,desktop,2025-12-06T11:38:16
590919e1-e0d3-4d48-9c23-7af37f13e0c5,outlook.com,games_only,2025-12-14,2026-01-05,True,organic,US,tablet,2025-12-06T19:56:55
f86136b1-2c56-418a-a095-7e3bfbe6d77f,yahoo.com,bundle_3,2025-03-14,2025-04-13,True,social,IN,mobile,2025-12-06T03:24:17
2c5f698e-3935-48b7-94c3-857665227a4d,icloud.com,bundle_3,2026-02-06,2026-02-24,True,email,US,tablet,2025-12-06T21:41:04
e463672d-6eb6-4662-a62f-cd1e8258eb75,yahoo.com,news_only,2025-03-03,2025-07-13,True,paid_search,US,tablet,2025-12-06T22:35:14
4fae8916-ebe4-42dc-92a7-9122ca4cd55d,yahoo.com,news_only,2026-02-10,2026-02-18,True,organic,CA,desktop,2025-12-06T08:04:13
77d68ec1-151b-4b2f-b95a-adcfe5811c99,yahoo.com,cooking_only,2025-09-22,2025-12-18,True,referral,US,tablet,2025-12-06T14:09:16
7a2b0ed9-8899-40cb-8880-a0730738ab08,edu,bundle_all,2025-12-22,2026-01-31,True,paid_search,AU,desktop,2025-12-06T11:14:08
ecd04054-2c4f-436e-8f01-16f9120ff83e,yahoo.com,news_only,2025-01-21,2025-03-25,True,referral,US,tablet,2025-12-06T13:38:04
fc703dce-a309-4044-b54c-875342b48d74,icloud.com,bundle_3,2025-10-07,2026-02-26,True,app_store,CA,mobile,2025-12-06T21:46:07
956cbfe8-8f41-4073-b549-a6986f8cf8fc,icloud.com,news_only,2025-09-06,2026-02-24,True,organic,US,mobile,2025-12-06T14:00:46
ca756402-8844-495f-b2be-a1dfebc20d8d,edu,cooking_only,2025-04-19,2025-07-26,True,organic,CA,desktop,2025-12-06T20:32:38
30233966-0983-430d-a945-71240e816b4d,edu,bundle_all,2025-06-15,,False,app_store,AU,tablet,2025-12-06T10:31:01
2acce35c-c8f3-4fd2-b52f-ea1ce4b7c363,icloud.com,bundle_all,2025-06-09,,False,email,US,tablet,2025-12-06T02:05:46
7c4ec1d8-f747-4307-9ad3-c8694e5ebab4,yahoo.com,bundle_3,2025-01-10,2025-10-16,True,email,US,tablet,2025-12-06T05:16:33
617a2813-54af-4c1c-b3a2-c209b0f35c7e,yahoo.com,cooking_only,2025-07-10,2025-12-02,True,referral,US,tablet,2025-12-06T20:23:28
6090b5f7-fa72-4f1f-a711-df207fbdd3fe,gmail.com,cooking_only,2025-07-25,2025-09-27,True,social,US,tablet,2025-12-06T07:37:14
e228c93e-c4ca-4557-95ef-7906f0f70f55,gmail.com,bundle_all,2025-12-03,2026-01-08,True,organic,CA,mobile,2025-12-06T16:15:17
2399d5a5-81d8-4356-98cf-2be7bc8dd2b7,edu,news_only,2025-03-25,2026-01-18,True,paid_search,US,desktop,2025-12-06T13:12:06
bde02b2a-77a1-46b7-9236-43c1276c14fd,outlook.com,bundle_all,2025-07-14,2025-11-03,True,referral,US,tablet,2025-12-06T20:06:03
6f2a4314-9b6e-43eb-bddf-140518513880,yahoo.com,bundle_3,2025-05-28,2025-07-29,True,email,US,desktop,2025-12-06T04:27:11
def195fc-70d3-48b0-a78c-73e8388a2ae4,gmail.com,bundle_all,2025-04-12,,False,paid_search,CA,tablet,2025-12-06T03:03:41
f75e9908-0fbe-45c1-b277-2ad3ed031385,yahoo.com,athletic_only,2026-02-07,2026-02-16,True,email,US,desktop,2025-12-06T06:55:25
2d375bde-0054-45e3-9cda-de5de193c522,icloud.com,cooking_only,2025-02-28,2025-09-22,True,paid_search,US,tablet,2025-12-06T23:50:35
61893152-a420-4a29-ae19-4bdfa35a6c2e,yahoo.com,news_only,2025-08-12,2025-11-02,True,organic,US,tablet,2025-12-06T01:47:20
ca1adad8-87e0-496a-8b7e-293ff160eeb9,yahoo.com,bundle_all,2025-10-01,2026-02-20,True,organic,IN,mobile,2025-12-06T05:04:38
2ea8a6b1-177f-4ecd-9dc9-c9a2db453d3d,edu,bundle_all,2026-02-20,2026-02-28,True,email,US,mobile,2025-12-06T19:05:26
0aea8ec7-99a8-49d7-9015-76e4fdaff3b0,yahoo.com,news_only,2025-09-21,2025-12-03,True,referral,GB,mobile,2025-12-06T08:25:08
50835b21-99a9-4f5a-9585-3797c45f26b9,gmail.com,news_only,2025-05-08,2025-06-21,True,paid_search,US,tablet,2025-12-06T03:04:34
ea07cc36-b8be-4774-b491-a855aa405e07,gmail.com,bundle_all,2025-04-20,2025-10-22,True,email,US,mobile,2025-12-06T14:53:34
990695bd-7abf-48dc-a90f-ba228493fba7,gmail.com,news_only,2025-10-15,2026-03-06,True,referral,CA,desktop,2025-12-06T21:06:56
956b44b6-07ad-4813-a1c5-d09445213e9a,edu,bundle_all,2025-02-03,,False,email,US,tablet,2025-12-06T06:45:21
13142126-d07a-478f-8626-6a6e58682eae,edu,bundle_all,2025-10-26,,False,paid_search,US,mobile,2025-12-06T02:40:27
8a9692d3-cab3-4158-b1ff-7a35b48dbb83,yahoo.com,games_only,2024-12-28,2026-02-02,True,referral,IN,mobile,2025-12-06T23:28:35
a6081725-8dba-4ad6-9a83-8f34128ce991,yahoo.com,news_only,2025-09-19,2025-10-15,True,app_store,US,desktop,2025-12-06T18:35:09
5dccf6ee-57dd-4ef4-95bb-c85ab7d294fd,gmail.com,bundle_3,2024-12-27,2026-02-14,True,social,US,mobile,2025-12-06T21:06:22
8360512c-6ec2-42ad-bda5-f25c95f67822,yahoo.com,games_only,2025-07-02,2026-01-16,True,email,CA,mobile,2025-12-06T13:01:11
75370657-b994-453d-8380-80f32f52ce75,yahoo.com,news_only,2025-05-25,2025-12-28,True,social,US,tablet,2025-12-06T03:24:55
9492bd0b-1e9c-4ada-b27c-caf0c7b41ed7,icloud.com,bundle_all,2025-08-03,2025-12-05,True,social,CA,mobile,2025-12-06T07:01:42
6ca8fdee-ad8a-438f-9955-08a6aa77da8f,icloud.com,bundle_all,2025-05-23,2025-07-04,True,social,US,desktop,2025-12-06T21:53:34
607b6253-28dd-4edc-a811-b070234bc3ee,yahoo.com,bundle_3,2024-12-20,2025-05-09,True,app_store,IN,desktop,2025-12-06T01:06:38
90fb8434-60ac-492e-ba42-ad7f37109e0e,edu,bundle_3,2025-12-14,2026-02-14,True,app_store,US,tablet,2025-12-06T06:16:02
a993c5fb-d77a-419e-9f82-8f28cf7d5bc3,edu,news_only,2024-12-06,2026-01-29,True,referral,GB,tablet,2025-12-06T23:42:12
71647693-4a69-4b10-bcbd-c9665df13032,edu,bundle_3,2025-01-10,2025-07-05,True,social,US,mobile,2025-12-06T23:57:19
073fe68f-4698-4b6b-be20-e6f60fe85404,icloud.com,news_only,2025-11-12,2026-01-09,True,app_store,US,desktop,2025-12-06T21:24:43
1b5028e3-8e01-4bb8-896d-040416043151,outlook.com,news_only,2025-03-05,2025-08-13,True,app_store,CA,desktop,2025-12-06T09:13:27
8b11d53a-ab2d-4f13-a182-c070490ab6f4,outlook.com,games_only,2025-10-12,2026-02-15,True,paid_search,US,tablet,2025-12-06T15:50:57
d7f1e48c-8272-4204-876b-ed1de60f0937,icloud.com,athletic_only,2025-12-17,2026-01-03,True,app_store,US,tablet,2025-12-06T10:05:52
203c31ef-c0c8-4152-a09d-f699b592fcda,yahoo.com,athletic_only,2025-04-05,2025-08-05,True,email,US,mobile,2025-12-06T15:39:54
808bd71a-03de-46fa-a05b-957074349282,edu,games_only,2025-07-27,2026-01-11,True,email,GB,desktop,2025-12-06T15:25:15
df93e5a3-c5bf-4437-bf70-96eb8cab3c8f,gmail.com,bundle_all,2025-11-23,2026-03-06,True,paid_search,US,tablet,2025-12-06T16:29:03
0a283219-4c1d-4f33-a933-d7b5e11c2b89,outlook.com,news_only,2026-02-13,2026-02-22,True,referral,US,tablet,2025-12-06T19:20:48
4e663872-f734-4585-814c-6719006f893d,outlook.com,cooking_only,2025-10-15,2026-02-28,True,app_store,US,mobile,2025-12-06T23:55:30
3144ae42-575b-4327-b26c-8c11a10549df,edu,bundle_3,2025-12-25,2026-02-05,True,paid_search,US,desktop,2025-12-06T14:04:45
8b812cca-13c9-4b7a-bd0f-dd1e7cca6b71,gmail.com,bundle_all,2025-04-24,2026-02-01,True,email,US,desktop,2025-12-06T22:09:45
75fb64bf-f268-41a4-9cf4-3729d28c455c,outlook.com,bundle_all,2025-07-06,2025-11-28,True,paid_search,US,desktop,2025-12-06T12:57:49
ddee9beb-a9a7-4254-a6ae-3f333be32b36,outlook.com,news_only,2025-11-27,2026-02-15,True,paid_search,US,desktop,2025-12-06T09:48:24
93f69807-c383-434c-9c31-6ff59529f666,edu,games_only,2026-02-06,2026-03-02,True,email,US,desktop,2025-12-06T13:31:01
822e7cb8-3745-4e18-96ac-422c667ff70f,yahoo.com,bundle_3,2025-11-13,2026-01-10,True,paid_search,AU,tablet,2025-12-06T17:01:58
c74fedc7-ea42-43c6-b217-7f3d6b89aa4c,outlook.com,bundle_3,2025-09-20,2025-10-18,True,email,CA,mobile,2025-12-06T01:16:24
b6f714ba-dfe0-4327-91ee-5c91a4d2dc69,outlook.com,bundle_3,2025-07-26,2026-02-12,True,social,GB,desktop,2025-12-06T08:53:05
1f83ff85-92b4-4785-b8b8-1d1bd8483684,yahoo.com,bundle_3,2025-12-24,2026-02-13,True,referral,US,tablet,2025-12-06T01:48:01
